"Timestamp","Bid_Open","Bid_High","Bid_Low","Bid_Close","Bid_Volume","Ask_Open","Ask_High","Ask_Low","Ask_Close","Ask_Volume","Class"
'2011-12-31T23:00:00',1.32308,1.32308,1.32258,1.32258,0.0,1.32488,1.32488,1.32322,1.32322,0.0,True
'2012-01-01T23:00:00',1.32513,1.32779,1.32229,1.3267,5138.31,1.32705,1.32936,1.32446,1.32861,5299.05,True
'2012-01-02T23:00:00',1.32648,1.33352,1.32627,1.33157,44363.7402,1.32832,1.33388,1.32713,1.33237,45241.3299,True
'2012-01-03T23:00:00',1.33144,1.33492,1.32845,1.33406,52180.5501,1.33237,1.33693,1.32885,1.33536,51867.9201,True
'2012-01-04T23:00:00',1.33389,1.3354,1.32202,1.32547,60856.7405,1.33534,1.33673,1.3223,1.32602,62025.7804,False
'2012-01-05T23:00:00',1.32547,1.32797,1.32073,1.32377,51755.4603,1.32642,1.32903,1.32106,1.32433,51647.92,True
'2012-01-08T23:00:00',1.3227,1.32839,1.31818,1.32592,55165.4902,1.32448,1.32879,1.31856,1.32713,54867.2401,True
'2012-01-09T23:00:00',1.32592,1.33311,1.32457,1.32837,51990.0497,1.32718,1.33353,1.32541,1.32998,51682.8798,True
'2012-01-10T23:00:00',1.32827,1.33346,1.32697,1.33031,52408.5098,1.32998,1.33378,1.32765,1.33162,52538.15,True
'2012-01-11T23:00:00',1.33031,1.33758,1.32826,1.33218,54197.4798,1.33166,1.33792,1.32896,1.33355,53889.9299,False
'2012-01-12T23:00:00',1.33211,1.33497,1.3252,1.3339,55755.9398,1.33355,1.33613,1.32559,1.33599,55207.5998,False
'2012-01-15T23:00:00',1.33062,1.3333,1.32581,1.33237,47996.4903,1.33232,1.33384,1.32746,1.33299,47779.54,True
'2012-01-16T23:00:00',1.33088,1.33984,1.33008,1.33354,109882.5905,1.33126,1.34038,1.33097,1.33434,110126.3007,False
'2012-01-17T23:00:00',1.3335,1.33459,1.32683,1.33258,115252.1398,1.33431,1.33509,1.32724,1.33331,114430.5397,False
'2012-01-18T23:00:00',1.3325,1.3325,1.32313,1.32371,100054.3888,1.33331,1.33331,1.32367,1.32421,100910.2008,True
'2012-01-19T23:00:00',1.32374,1.33398,1.32286,1.33256,88154.1202,1.32416,1.33449,1.32338,1.33363,90408.0194,True
